ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
931	221,0,0,0,0,45,1,0,0,0,3,0,0,9,0,0	278,0,0,0,0,77,7,0,0,0,1,0,0,8,0,0	0,0,0,1,1,51,3,0,0,0,3,0,0,5,0,0	1,0,1,0,0,56,1,0,3,6,7,0,0,15,0,0	272	269
934	1006,1788,3766,619,1364,1157,227,465,949,1151,1004,376,157,1475,286,1166	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1367,2553,1873,906,483,1033,225,312,1019,1149,812,764,123,717,211,934	0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0	282	269
940	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2	437	269
942	0,0,2,0,0,1,1,0,2,0,4,0,2,2,8,0	0,1,0,0,0,0,0,0,0,0,3,1,0,2,0,1	0,2,2,0,3,4,0,0,0,0,1,0,0,1,6,0	0,2,0,0,0,0,2,0,0,0,4,0,0,5,1,0	985	269
943	1,361,519,40,77,206,4,7,76,479,78,67,2,459,84,597	1,2,11,0,0,5,0,0,0,0,1,0,0,1,2,7	20,444,1250,57,59,201,1,13,127,253,58,57,9,267,65,500	0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1	543	269
944	0,0,0,4,0,7,5,0,0,0,6,16,3,3,17,3	0,0,0,0,0,1,0,0,0,0,1,6,0,1,1,0	0,1,2,0,3,24,2,0,0,14,16,15,2,10,5,12	0,0,0,0,0,2,0,0,0,0,0,2,0,4,3,0	288	269
945	0,0,0,2,0,3,0,0,2,2,2,1,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0	0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2	0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1	272	269
946	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1	0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0	374	269
948	0,3,0,0,1,4,0,5,0,19,2,15,0,7,2,7	0,3,0,1,6,11,0,4,2,14,7,27,0,20,7,28	0,1,0,0,6,4,0,2,6,15,3,6,0,12,1,22	0,0,0,0,15,6,2,8,3,24,4,11,0,10,2,27	272	269
949	0,0,0,0,1,1,0,0,0,0,0,2,0,1,4,0	1,19,8,21,27,38,9,13,12,43,86,104,3,43,23,31	0,1,0,1,2,1,1,0,1,0,0,2,0,1,0,1	5,13,6,11,28,36,17,16,11,11,23,66,3,12,14,20	284	269
964	0,2,0,0,0,8,2,0,2,1,13,15,2,6,2,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,2,0,2,4,2,2,0,1,13,11,0,9,0,4	0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0	308	269
966	0,1,5,6,0,1,0,0,0,2,1,4,0,2,0,0	1,23,18,23,12,6,1,4,9,20,30,103,1,7,2,6	0,1,0,2,2,2,0,0,1,0,5,5,0,1,0,2	0,8,25,8,41,7,5,3,32,2,39,15,0,23,0,17	272	269
968	6,12,13,9,27,82,16,43,7,58,143,251,2,75,24,138	0,0,0,0,2,1,0,1,0,0,0,1,0,3,0,0	0,16,18,11,125,95,12,91,15,147,226,94,1,190,15,222	0,0,0,0,3,7,0,2,0,0,0,2,0,3,0,5	277	269
969	3,10,9,11,14,27,31,32,10,22,96,121,2,27,14,37	0,0,0,0,1,0,2,2,0,0,4,2,0,2,1,0	0,4,16,17,56,29,27,23,31,29,127,32,1,62,16,97	0,0,0,0,3,0,0,3,0,0,3,1,0,0,0,0	278	269
970	1,0,0,2,1,5,0,0,0,17,9,50,0,4,3,6	0,0,0,0,0,3,0,0,0,0,0,9,0,0,2,0	0,0,0,0,6,3,1,0,1,9,10,6,0,12,1,11	0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0	575	269
971	4,1,5,3,19,0,0,4,3,28,16,20,0,22,5,12	2,2,1,12,17,12,7,18,7,31,35,71,2,45,2,48	0,1,0,5,15,1,3,4,1,18,15,3,1,20,3,38	5,6,0,3,43,8,4,12,3,30,38,12,0,44,8,47	275	269
