ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
868	0,0,12,0,0,2,85,0,0,0,44,0,0,0,1,4	0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0	0,0,10,0,2,0,81,0,0,0,31,0,0,2,0,0	0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0	409	269
869	0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,4	0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	417	269
870	0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,4	0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2	0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0	538	269
871	0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0	0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0	486	269
872	4,2,10,4,1,5,0,4,13,18,5,3,0,7,4,3	1,0,3,3,3,8,1,3,9,0,8,5,1,9,1,12	0,3,5,4,2,5,0,2,6,4,5,1,2,0,0,6	1,5,1,0,2,4,0,1,6,12,14,0,0,5,2,1	273	269
873	0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1	0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,3	0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	538	269
874	10,8,6,8,33,81,2,40,6,38,34,139,15,66,36,93	8,1,4,11,40,52,2,20,0,48,13,97,7,81,20,61	3,3,8,5,67,73,2,67,9,35,20,20,6,61,51,91	0,6,5,11,62,58,2,42,2,59,13,29,11,50,25,94	280	269
875	2,5,2,2,5,13,1,5,5,11,10,23,3,13,8,20	0,0,0,0,0,2,0,0,1,0,2,8,0,4,0,2	1,0,3,1,18,18,0,5,3,15,0,2,2,11,7,20	0,0,0,2,2,2,0,4,0,0,0,0,0,1,1,9	280	269
876	11,1,2,0,1,0,0,1,1,1,1,3,0,4,0,7	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,0,4,0,4,1,0,0,2,10,0,0,2,2,0,8	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	382	269
877	0,0,0,0,1,0,0,1,0,0,1,0,0,0,4,0	0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,3	0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,1	0,1,0,0,0,0,0,3,0,0,0,0,0,2,1,1	272	269
