ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
510	0,1,0,1,0,2,1,2,1,0,9,5,0,1,2,1	1,6,14,2,30,14,1,25,12,21,57,74,1,37,20,18	0,1,0,1,2,4,0,2,0,3,3,4,1,2,1,8	0,5,5,3,56,20,4,17,8,13,39,42,0,40,21,51	344	269
511	0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3	0,0,0,0,2,5,0,1,3,2,14,20,0,12,2,5	0,0,0,0,1,0,1,0,0,5,0,0,0,2,0,0	0,0,0,0,5,1,0,2,1,2,3,6,1,13,0,13	538	269
512	2,27,15,25,153,119,37,63,15,258,351,202,4,266,70,270	0,0,1,0,18,3,1,12,0,8,36,19,0,18,5,13	3,38,64,24,157,132,25,114,38,177,369,170,2,154,48,353	0,3,1,3,7,3,0,15,0,21,33,7,0,9,0,15	397	269
513	0,0,0,6,3,7,0,1,1,0,1,3,0,0,2,0	0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0	0,0,0,6,0,0,0,0,4,0,0,2,1,1,5,0	0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0	436	269
518	7,61,76,29,56,24,20,30,98,117,119,45,5,91,12,126	33,188,183,130,190,102,79,135,360,318,469,161,5,332,73,351	52,88,78,57,65,33,10,43,103,159,81,21,1,88,13,128	169,319,259,225,204,74,76,154,213,210,436,131,11,256,77,346	478	269
520	1,14,1,12,3,7,1,5,7,1,42,2,1,17,1,15	57,214,310,274,163,242,77,142,572,185,324,243,17,313,119,230	4,10,15,3,2,8,6,1,4,8,8,2,0,5,4,7	238,210,257,464,151,213,48,154,521,211,323,189,23,178,110,324	538	269
521	1,5,5,11,3,4,5,3,19,8,16,3,1,7,3,14	4,2,5,0,0,0,3,1,0,0,0,0,0,0,0,0	15,4,14,13,3,9,2,8,17,9,16,7,0,9,2,14	2,7,4,0,0,11,1,0,0,0,1,0,1,0,1,0	538	269
528	6,6,1,5,3,39,6,0,2,28,5,27,1,11,5,13	12,11,8,13,54,105,42,33,16,40,205,252,5,60,44,97	0,11,4,9,9,22,2,4,5,21,15,1,1,15,4,9	0,13,7,4,114,96,36,57,9,47,240,84,3,106,19,156	538	269
531	0,0,0,0,2,0,0,4,1,0,9,22,0,1,0,4	0,0,0,0,0,0,0,0,0,3,0,2,0,2,0,0	0,1,0,4,4,0,1,4,1,2,13,24,0,6,0,13	0,0,0,0,1,0,0,0,0,0,1,3,0,4,0,0	470	269
533	4,6,8,21,26,18,1,16,16,21,16,52,3,47,24,18	0,0,0,4,0,0,0,0,0,0,0,2,0,1,0,0	0,3,4,24,34,20,0,39,14,4,6,42,1,24,17,37	0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1	388	269
