ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	IncLevel1	IncLevel2	IncLevelDifference
572	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	9,33,19,24,35,24,2,25,29,34,32,40,2,54,5,41	0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0	77,50,35,20,14,16,4,8,43,15,6,26,6,12,2,10	1264	269	0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.001
576	1,0,3,1,0,2,0,0,0,0,0,2,0,2,3,2	1,1,0,0,0,11,4,0,0,16,0,0,0,1,9,12	1,1,0,0,0,5,0,0,0,3,0,0,0,1,1,6	0,1,3,0,3,7,0,0,0,31,3,2,0,8,14,22	389	269	0.409,0.0,1.0,1.0,NA,0.112,0.0,NA,NA,0.0,NA,1.0,NA,0.58,0.187,0.103	1.0,0.409,0.0,NA,0.0,0.331,NA,NA,NA,0.063,0.0,0.0,NA,0.08,0.047,0.159	0.209
579	0,0,0,0,0,1,0,0,6,0,0,2,7,0,11,2	0,0,0,1,0,0,0,0,1,0,0,0,6,1,6,0	0,0,0,1,0,1,0,2,0,0,0,0,0,0,13,0	1,0,0,0,0,0,0,0,0,0,0,1,1,1,4,3	388	269	NA,NA,NA,0.0,NA,1.0,NA,NA,0.806,NA,NA,1.0,0.447,0.0,0.56,1.0	0.0,NA,NA,1.0,NA,1.0,NA,1.0,NA,NA,NA,0.0,0.0,0.0,0.693,0.0	0.191
580	0,0,0,0,0,1,0,0,6,0,0,2,8,0,11,2	14,7,16,60,22,116,6,41,29,20,0,148,358,128,604,42	0,0,0,0,0,1,0,2,0,0,0,0,0,0,14,0	3,8,10,56,64,94,4,82,41,5,0,74,323,160,502,69	430	269	0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.115,0.0,NA,0.008,0.014,0.0,0.011,0.029	0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.015,0.0,0.0,NA,0.0,0.0,0.0,0.017,0.0	0.01
581	0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,2,1,12,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,2,0,0,5,0,1,3,1,0,1,4,0,3,0,1	631	269	NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,NA,NA	NA,0.0,NA,NA,0.0,NA,0.0,0.0,0.0,NA,0.0,0.0,NA,0.0,NA,0.0	0.25
584	0,0,2,1,0,2,0,0,0,0,0,0,0,1,0,1	3,3,2,0,1,3,0,0,0,0,0,0,0,0,0,3	0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0	1,0,5,0,1,1,0,0,3,0,0,2,0,0,0,1	344	269	0.0,0.0,0.439,1.0,0.0,0.343,NA,NA,NA,NA,NA,NA,NA,1.0,NA,0.207	0.0,1.0,0.484,NA,0.0,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,NA,0.0	0.188
587	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	7,11,17,24,21,133,7,11,18,42,45,44,0,24,66,37	0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0	4,2,28,25,48,106,6,19,22,12,54,17,1,40,52,32	1525	269	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.005,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	-0.002
588	4,1,2,4,4,5,0,0,0,0,14,5,1,2,5,6	508,727,378,1175,276,1057,38,207,673,623,236,415,162,598,843,657	4,2,2,0,4,1,1,3,0,2,7,2,3,4,7,3	86,750,543,1203,327,942,34,237,620,428,204,202,197,490,778,666	440	269	0.005,0.001,0.003,0.002,0.009,0.003,0.0,0.0,0.0,0.0,0.035,0.007,0.004,0.002,0.004,0.006	0.028,0.002,0.002,0.0,0.007,0.001,0.018,0.008,0.0,0.003,0.021,0.006,0.009,0.005,0.005,0.003	-0.002
591	0,0,0,0,5,9,2,1,0,20,13,43,0,5,0,16	0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0	1,0,0,0,16,2,4,6,0,34,17,17,0,32,1,40	0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,2	341	269	NA,NA,NA,NA,1.0,1.0,1.0,1.0,NA,0.94,0.911,0.919,NA,1.0,NA,1.0	1.0,NA,NA,NA,0.759,1.0,1.0,1.0,NA,0.964,1.0,1.0,NA,1.0,1.0,0.94	0.005
598	2,11,12,26,0,8,0,0,0,6,21,7,0,4,0,2	0,0,6,8,0,0,0,0,0,0,2,0,0,0,0,0	0,0,13,14,1,20,5,1,3,3,29,3,3,8,5,2	0,0,2,1,0,1,0,0,4,0,1,0,0,1,0,0	353	269	1.0,1.0,0.604,0.712,NA,1.0,NA,NA,NA,1.0,0.889,1.0,NA,1.0,NA,1.0	NA,NA,0.832,0.914,1.0,0.938,1.0,1.0,0.364,1.0,0.957,1.0,1.0,0.859,1.0,1.0	0.002
607	0,0,0,0,0,0,0,0,0,2,4,0,1,0,0,0	0,1,1,3,7,6,22,1,2,31,34,21,4,5,13,27	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,1,1,11,6,39,2,4,10,40,2,3,9,20,19	647	269	NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.047,0.0,0.094,0.0,0.0,0.0	NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.011
615	1,0,0,0,2,0,2,1,0,6,1,0,0,1,1,1	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	0,0,0,0,2,2,0,1,0,5,0,3,0,3,1,2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	804	269	1.0,NA,NA,NA,1.0,NA,1.0,1.0,NA,1.0,0.251,NA,NA,1.0,1.0,1.0	NA,NA,NA,NA,1.0,1.0,NA,1.0,NA,1.0,NA,1.0,NA,1.0,1.0,1.0	-0.083
627	0,0,2,5,0,1,1,2,14,0,0,6,4,1,7,0	0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0	0,0,1,5,2,2,0,0,23,0,0,6,4,1,2,0	0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0	2962	269	NA,NA,1.0,1.0,NA,1.0,1.0,1.0,1.0,NA,NA,1.0,1.0,0.043,0.389,NA	NA,NA,1.0,1.0,0.083,1.0,NA,NA,1.0,NA,NA,1.0,0.266,1.0,1.0,NA	0.027
628	0,0,0,4,0,7,0,1,1,0,0,0,0,1,2,1	0,0,0,11,0,30,0,2,17,0,0,1,0,5,1,0	0,0,2,1,0,15,0,0,0,6,0,0,0,0,3,1	0,0,2,9,1,22,1,4,0,3,0,1,0,2,2,2	527	269	NA,NA,NA,0.157,NA,0.106,NA,0.203,0.029,NA,NA,0.0,NA,0.093,0.505,1.0	NA,NA,0.338,0.054,0.0,0.258,0.0,0.0,NA,0.505,NA,0.0,NA,0.0,0.434,0.203	0.099
